Restaurant Name,City,Cuisines,Average Cost for two,Price range,Has Online delivery,Has Table booking,Votes,Aggregate rating,Longitude,Latitude,price_bucket,content
Le Petit Souffle,Makati City,"french, japanese, desserts",1100,3,offline,online,314,4.8,121.027535,14.565443,expensive,"french, japanese, desserts Makati City expensive offline online"
Izakaya Kikufuji,Makati City,japanese,1200,3,offline,online,591,4.5,121.014101,14.553708,expensive,japanese Makati City expensive offline online
Heat - Edsa Shangri-La,Mandaluyong City,"seafood, asian, filipino, indian",4000,4,offline,online,270,4.4,121.056831,14.581404,expensive,"seafood, asian, filipino, indian Mandaluyong City expensive offline online"
Ooma,Mandaluyong City,"japanese, sushi",1500,4,offline,offline,365,4.9,121.056475,14.585318,expensive,"japanese, sushi Mandaluyong City expensive offline offline"
Sambo Kojin,Mandaluyong City,"japanese, korean",1500,4,offline,online,229,4.8,121.057508,14.58445,expensive,"japanese, korean Mandaluyong City expensive offline online"
Din Tai Fung,Mandaluyong City,chinese,1000,3,offline,offline,336,4.4,121.056314,14.583764,expensive,chinese Mandaluyong City expensive offline offline
Buffet 101,Pasay City,"asian, european",2000,4,offline,online,520,4.0,120.9796667,14.53133333,expensive,"asian, european Pasay City expensive offline online"
Vikings,Pasay City,"seafood, filipino, asian, european",2000,4,offline,online,677,4.2,120.9793333,14.54,expensive,"seafood, filipino, asian, european Pasay City expensive offline online"
Spiral - Sofitel Philippine Plaza Manila,Pasay City,"european, asian, indian",6000,4,offline,online,621,4.9,120.98009,14.55299,expensive,"european, asian, indian Pasay City expensive offline online"
Locavore,Pasig City,filipino,1100,3,offline,online,532,4.8,121.056532,14.572041,expensive,filipino Pasig City expensive offline online
Silantro Fil-Mex,Pasig City,"filipino, mexican",800,3,offline,offline,1070,4.9,121.057916,14.567689,expensive,"filipino, mexican Pasig City expensive offline offline"
Mad Mark's Creamery & Good Eats,Pasig City,"american, ice cream, desserts",900,3,offline,online,488,4.2,121.06082,14.570849,expensive,"american, ice cream, desserts Pasig City expensive offline online"
Silantro Fil-Mex,Quezon City,"filipino, mexican",800,3,offline,offline,294,4.8,121.075419,14.649503,expensive,"filipino, mexican Quezon City expensive offline offline"
Guevarra's,San Juan City,filipino,1000,3,offline,online,458,4.2,121.0335917,14.59345,expensive,filipino San Juan City expensive offline online
Sodam Korean Restaurant,San Juan City,korean,700,3,offline,offline,223,4.3,121.03811,14.59889,expensive,korean San Juan City expensive offline offline
Cafe Arabelle,Santa Rosa,"cafe, american, italian, filipino",800,3,offline,offline,29,3.6,121.05704,14.237082,expensive,"cafe, american, italian, filipino Santa Rosa expensive offline offline"
Nonna's Pasta & Pizzeria,Santa Rosa,"italian, pizza",850,3,offline,offline,72,4.0,121.0565874,14.23767897,expensive,"italian, pizza Santa Rosa expensive offline offline"
Balay Dako,Tagaytay City,filipino,1200,3,offline,online,211,4.5,120.951589,14.101834,expensive,filipino Tagaytay City expensive offline online
Hobing Korean Dessert Cafe,Taguig City,"cafe, korean, desserts",600,2,offline,offline,118,4.5,121.045878,14.55436,moderate,"cafe, korean, desserts Taguig City moderate offline offline"
Wildflour Cafe + Bakery,Taguig City,"cafe, bakery, american, italian",1500,4,offline,online,392,4.4,121.04622,14.549337,expensive,"cafe, bakery, american, italian Taguig City expensive offline online"
NIU by Vikings,Taguig City,"seafood, american, mediterranean, japanese",3000,4,offline,online,535,4.7,121.053725,14.545858,expensive,"seafood, american, mediterranean, japanese Taguig City expensive offline online"
The Food Hall by Todd English,Taguig City,"american, asian, italian, seafood",1800,4,offline,online,618,4.5,121.0534998,14.54565535,expensive,"american, asian, italian, seafood Taguig City expensive offline online"
Chez Michou,Bras�_lia,"fast food, french",55,2,offline,offline,6,3.0,-47.88178889,-15.76414167,cheap,"fast food, french Bras�_lia cheap offline offline"
Caf�� Daniel Briand,Bras�_lia,cafe,30,1,offline,offline,9,3.8,-47.88266667,-15.7775,cheap,cafe Bras�_lia cheap offline offline
Casa do Biscoito Mineiro,Bras�_lia,bakery,45,2,offline,offline,11,3.7,-47.88213611,-15.75747222,cheap,bakery Bras�_lia cheap offline offline
Maori,Bras�_lia,brazilian,60,3,offline,offline,11,3.8,-47.88816667,-15.75883333,cheap,brazilian Bras�_lia cheap offline offline
Pizza �� Bessa,Bras�_lia,pizza,50,2,offline,offline,11,3.2,-47.91566667,-15.83116667,cheap,pizza Bras�_lia cheap offline offline
Sushi Loko,Bras�_lia,japanese,80,3,offline,offline,10,3.1,-47.91566667,-15.831,cheap,japanese Bras�_lia cheap offline offline
Beirute,Bras�_lia,arabian,90,3,offline,offline,8,3.7,-47.9075,-15.82,cheap,arabian Bras�_lia cheap offline offline
New Koto,Bras�_lia,japanese,200,4,offline,offline,5,3.7,-47.91016667,-15.82733333,cheap,japanese Bras�_lia cheap offline offline
Sandubas Caf��,Bras�_lia,"brazilian, cafe",30,1,offline,offline,2,0.0,-47.89016667,-15.797,cheap,"brazilian, cafe Bras�_lia cheap offline offline"
Villa Tevere,Bras�_lia,italian,150,4,offline,offline,12,4.1,-47.92366667,-15.83133333,cheap,italian Bras�_lia cheap offline offline
Rovereto,Bras�_lia,pizza,100,4,offline,offline,9,3.1,-48.019,-15.83716667,cheap,pizza Bras�_lia cheap offline offline
Buena Carne,Bras�_lia,"bar food, brazilian",60,3,offline,offline,9,3.6,-48.01909167,-15.839775,cheap,"bar food, brazilian Bras�_lia cheap offline offline"
Taco Pep,Bras�_lia,"mexican, grill",100,4,offline,offline,29,4.3,-48.01666667,-15.83483333,cheap,"mexican, grill Bras�_lia cheap offline offline"
Coco Bambu,Bras�_lia,international,230,4,offline,offline,17,4.2,-47.889,-15.7865,moderate,international Bras�_lia moderate offline offline
Tayp��,Bras�_lia,"peruvian, latin american",100,4,offline,offline,5,3.6,-47.872359,-15.860621,cheap,"peruvian, latin american Bras�_lia cheap offline offline"
Outback Steakhouse,Bras�_lia,"american, grill",150,4,offline,offline,10,4.0,-47.95628333,-15.83451389,cheap,"american, grill Bras�_lia cheap offline offline"
Manzu��,Bras�_lia,seafood,240,4,offline,offline,6,3.2,-47.87283333,-15.82566667,moderate,seafood Bras�_lia moderate offline offline
Coco Bambu,Bras�_lia,international,230,4,offline,offline,30,4.9,-47.8685,-15.819,moderate,international Bras�_lia moderate offline offline
Gero,Bras�_lia,italian,350,4,offline,offline,8,3.3,-47.885812,-15.720118,moderate,italian Bras�_lia moderate offline offline
Brazilian American Burgers,Bras�_lia,"american, burger",50,2,offline,offline,9,3.6,-47.92102778,-15.79753056,cheap,"american, burger Bras�_lia cheap offline offline"
Pesqueiro Eco Gourmet,Rio de Janeiro,"seafood, bar food, brazilian",140,4,offline,offline,7,4.0,-43.377,-23.0115,cheap,"seafood, bar food, brazilian Rio de Janeiro cheap offline offline"
Confeitaria Colombo,Rio de Janeiro,"desserts, cafe",100,4,offline,offline,29,4.8,-43.178826,-22.905293,cheap,"desserts, cafe Rio de Janeiro cheap offline offline"
Bibi,Rio de Janeiro,"juices, healthy food",60,3,offline,offline,24,4.7,-43.18669167,-22.97207222,cheap,"juices, healthy food Rio de Janeiro cheap offline offline"
Cervantes,Rio de Janeiro,"beverages, bar food, fast food",90,3,offline,offline,29,4.5,-43.17583333,-22.96216667,cheap,"beverages, bar food, fast food Rio de Janeiro cheap offline offline"
Amir,Rio de Janeiro,lebanese,170,4,offline,offline,11,4.2,-43.176,-22.96516667,cheap,lebanese Rio de Janeiro cheap offline offline
TT Burger,Rio de Janeiro,burger,60,3,offline,offline,19,4.8,-43.191,-22.98683333,cheap,burger Rio de Janeiro cheap offline offline
Braseiro da G��vea,Rio de Janeiro,"brazilian, bar food",100,4,offline,offline,40,4.9,-43.227042,-22.973507,cheap,"brazilian, bar food Rio de Janeiro cheap offline offline"
Balada Mix,Rio de Janeiro,"brazilian, healthy food, juices, pizza",90,3,offline,offline,21,4.6,-43.211425,-22.98520833,cheap,"brazilian, healthy food, juices, pizza Rio de Janeiro cheap offline offline"
Garota de Ipanema,Rio de Janeiro,"brazilian, bar food",120,4,offline,offline,49,4.9,-43.203,-22.98533333,cheap,"brazilian, bar food Rio de Janeiro cheap offline offline"
Zaz�� Bistr�� Tropical,Rio de Janeiro,brazilian,170,4,offline,offline,21,4.6,-43.20520833,-22.98531944,cheap,brazilian Rio de Janeiro cheap offline offline
Fil�� de Ouro,Rio de Janeiro,brazilian,90,3,offline,offline,14,4.3,-43.219563,-22.966647,cheap,brazilian Rio de Janeiro cheap offline offline
D.O.C Ristorante,Rio de Janeiro,italian,150,4,offline,offline,5,4.0,-43.34879167,-22.99991111,cheap,italian Rio de Janeiro cheap offline offline
Sushi Leblon,Rio de Janeiro,japanese,250,4,offline,offline,25,4.6,-43.227,-22.98416667,moderate,japanese Rio de Janeiro moderate offline offline
Talho Capixaba,Rio de Janeiro,"bakery, sandwich, brazilian",120,4,offline,offline,13,4.4,-43.22566667,-22.98516667,cheap,"bakery, sandwich, brazilian Rio de Janeiro cheap offline offline"
Leme Light,Rio de Janeiro,brazilian,40,2,offline,offline,7,4.2,-43.17279167,-22.963925,cheap,brazilian Rio de Janeiro cheap offline offline
Shirley,Rio de Janeiro,"brazilian, seafood",250,4,offline,offline,8,4.2,-43.17126389,-22.96337222,moderate,"brazilian, seafood Rio de Janeiro moderate offline offline"
Quiosque Chopp Brahma,Rio de Janeiro,"bar food, brazilian",70,3,offline,offline,1,0.0,-43.341164,-22.870413,cheap,"bar food, brazilian Rio de Janeiro cheap offline offline"
Apraz�_vel,Rio de Janeiro,brazilian,300,4,offline,offline,44,4.7,-43.18736944,-22.92481389,moderate,brazilian Rio de Janeiro moderate offline offline
Aconchego Carioca,Rio de Janeiro,"brazilian, bar food",85,3,offline,offline,24,4.6,-43.21551111,-22.91370833,cheap,"brazilian, bar food Rio de Janeiro cheap offline offline"
Garota de Ipanema,Rio de Janeiro,"brazilian, bar food",80,3,offline,offline,10,4.3,-43.16266667,-22.94783333,cheap,"brazilian, bar food Rio de Janeiro cheap offline offline"
Cantina Famiglia Mancini,S��o Paulo,"italian, pizza",250,4,offline,offline,49,4.5,-46.64516667,-23.55066667,moderate,"italian, pizza S��o Paulo moderate offline offline"
Templo da Carne - Marcos Bassi,S��o Paulo,"steak, bbq",250,4,offline,offline,17,4.4,-46.64633333,-23.559,moderate,"steak, bbq S��o Paulo moderate offline offline"
Gopala Hari,S��o Paulo,indian,70,3,offline,offline,5,3.1,-46.65866667,-23.55616667,cheap,indian S��o Paulo cheap offline offline
Jiquitaia,S��o Paulo,brazilian,100,4,offline,offline,15,4.1,-46.657523,-23.55671,cheap,brazilian S��o Paulo cheap offline offline
